year,Area/Tree,Hec
2001,A,83658468.65
2001,T,154497.154
2002,A,66223794.67
2002,T,235574.3467
2003,A,21453566.26
2003,T,251901.6694
2004,A,55638294.37
2004,T,30741.14027
2005,A,19323115.32
2005,T,83971.09972
2006,A,47714902.02
2006,T,86711.35363
2007,A,44976566.92
2007,T,232267.242
2008,A,24803928.86
2008,T,105540.5962
2009,A,29799377.48
2009,T,91428.96842
2010,A,14660967.39
2010,T,206123.66
2011,A,78692320.77
2011,T,33921.11006
2012,A,79366775.03
2012,T,52661.33733
2013,A,21797273.24
2013,T,177481.2139
2014,A,38058061.13
2014,T,181834.6184
2015,A,34792586.64
2015,T,173113.9682
2016,A,18284678.55
2016,T,282037.2795
2017,A,44191672.91
2017,T,114605.4408
2018,A,44538716.07
2018,T,151099.1159
2019,A,24234581.28
2019,T,1526819.098
2020,A,9376958.111
2020,T,1957826.814
2021,A,21595295.98
2021,T,132480.9961
2022,A,11549766.7
2022,T,56819.62519
